RefreshRate:,59.8840
Experiment duration (us):,1126131076
Trial,Condition number,Condition name,Duration (us),Duration (frames),Error timing flag (1 if trial is compromised)
1,1,Contrast 100, Direction 0,4174575,249.99,
2,7,Contrast 100, Direction 90,4174576,249.99,
3,2,Contrast 50, Direction 0,4174582,249.99,
4,18,Contrast 25, Direction 225,4174576,249.99,
5,3,Contrast 25, Direction 0,4174575,249.99,
6,5,Contrast 50, Direction 45,4174583,249.99,
7,8,Contrast 50, Direction 90,4174583,249.99,
8,4,Contrast 100, Direction 45,4174575,249.99,
9,9,Contrast 25, Direction 90,4174576,249.99,
10,22,Contrast 100, Direction 315,4174577,249.99,
11,2,Contrast 50, Direction 0,4174582,249.99,
12,12,Contrast 25, Direction 135,4174576,249.99,
13,15,Contrast 25, Direction 180,4174583,249.99,
14,3,Contrast 25, Direction 0,4174575,249.99,
15,3,Contrast 25, Direction 0,4174575,249.99,
16,8,Contrast 50, Direction 90,4174583,249.99,
17,12,Contrast 25, Direction 135,4174575,249.99,
18,14,Contrast 50, Direction 180,4174575,249.99,
19,1,Contrast 100, Direction 0,4174585,249.99,
20,23,Contrast 50, Direction 315,4174575,249.99,
21,7,Contrast 100, Direction 90,4174575,249.99,
22,21,Contrast 25, Direction 270,4174574,249.99,
23,12,Contrast 25, Direction 135,4174582,249.99,
24,4,Contrast 100, Direction 45,4174576,249.99,
25,3,Contrast 25, Direction 0,4174575,249.99,
26,11,Contrast 50, Direction 135,4174583,249.99,
27,12,Contrast 25, Direction 135,4174583,249.99,
28,11,Contrast 50, Direction 135,4174575,249.99,
29,20,Contrast 50, Direction 270,4174574,249.99,
30,7,Contrast 100, Direction 90,4174575,249.99,
31,11,Contrast 50, Direction 135,4174574,249.99,
32,4,Contrast 100, Direction 45,4174583,249.99,
33,21,Contrast 25, Direction 270,4174574,249.99,
34,4,Contrast 100, Direction 45,4174583,249.99,
35,8,Contrast 50, Direction 90,4174575,249.99,
36,2,Contrast 50, Direction 0,4174573,249.99,
37,12,Contrast 25, Direction 135,4174582,249.99,
38,13,Contrast 100, Direction 180,4174575,249.99,
39,9,Contrast 25, Direction 90,4174574,249.99,
40,7,Contrast 100, Direction 90,4174581,249.99,
41,7,Contrast 100, Direction 90,4174575,249.99,
42,10,Contrast 100, Direction 135,4174582,249.99,
43,10,Contrast 100, Direction 135,4174575,249.99,
44,19,Contrast 100, Direction 270,4174573,249.99,
45,1,Contrast 100, Direction 0,4174573,249.99,
46,21,Contrast 25, Direction 270,4174574,249.99,
47,10,Contrast 100, Direction 135,4174581,249.99,
48,8,Contrast 50, Direction 90,4174575,249.99,
49,19,Contrast 100, Direction 270,4174575,249.99,
50,11,Contrast 50, Direction 135,4174573,249.99,
51,14,Contrast 50, Direction 180,4174574,249.99,
52,17,Contrast 50, Direction 225,4174582,249.99,
53,17,Contrast 50, Direction 225,4174574,249.99,
54,5,Contrast 50, Direction 45,4174574,249.99,
55,3,Contrast 25, Direction 0,4174575,249.99,
56,22,Contrast 100, Direction 315,4174582,249.99,
57,24,Contrast 25, Direction 315,4174574,249.99,
58,6,Contrast 25, Direction 45,4174573,249.99,
59,17,Contrast 50, Direction 225,4174574,249.99,
60,2,Contrast 50, Direction 0,4174574,249.99,
61,24,Contrast 25, Direction 315,4174580,249.99,
62,9,Contrast 25, Direction 90,4174574,249.99,
63,4,Contrast 100, Direction 45,4174573,249.99,
64,22,Contrast 100, Direction 315,4174573,249.99,
65,10,Contrast 100, Direction 135,4174582,249.99,
66,9,Contrast 25, Direction 90,4174574,249.99,
67,16,Contrast 100, Direction 225,4174580,249.99,
68,9,Contrast 25, Direction 90,4174574,249.99,
69,10,Contrast 100, Direction 135,4174573,249.99,
70,4,Contrast 100, Direction 45,4174574,249.99,
71,5,Contrast 50, Direction 45,4174573,249.99,
72,6,Contrast 25, Direction 45,4174573,249.99,
73,7,Contrast 100, Direction 90,4174573,249.99,
74,13,Contrast 100, Direction 180,4174575,249.99,
75,18,Contrast 25, Direction 225,4174573,249.99,
76,13,Contrast 100, Direction 180,4174574,249.99,
77,14,Contrast 50, Direction 180,4174580,249.99,
78,19,Contrast 100, Direction 270,4174573,249.99,
79,13,Contrast 100, Direction 180,4174573,249.99,
80,21,Contrast 25, Direction 270,4174573,249.99,
81,17,Contrast 50, Direction 225,4174574,249.99,
82,12,Contrast 25, Direction 135,4174572,249.99,
83,18,Contrast 25, Direction 225,4174571,249.99,
84,19,Contrast 100, Direction 270,4174572,249.99,
85,19,Contrast 100, Direction 270,4174573,249.99,
86,22,Contrast 100, Direction 315,4174573,249.99,
87,3,Contrast 25, Direction 0,4174582,249.99,
88,23,Contrast 50, Direction 315,4174573,249.99,
89,14,Contrast 50, Direction 180,4174573,249.99,
90,24,Contrast 25, Direction 315,4174573,249.99,
91,8,Contrast 50, Direction 90,4174580,249.99,
92,11,Contrast 50, Direction 135,4174573,249.99,
93,13,Contrast 100, Direction 180,4174572,249.99,
94,13,Contrast 100, Direction 180,4174573,249.99,
95,1,Contrast 100, Direction 0,4174573,249.99,
96,12,Contrast 25, Direction 135,4174582,249.99,
97,20,Contrast 50, Direction 270,4174573,249.99,
98,10,Contrast 100, Direction 135,4174580,249.99,
99,10,Contrast 100, Direction 135,4174582,249.99,
100,18,Contrast 25, Direction 225,4174573,249.99,
101,3,Contrast 25, Direction 0,4174581,249.99,
102,8,Contrast 50, Direction 90,4174573,249.99,
103,19,Contrast 100, Direction 270,4174571,249.99,
104,2,Contrast 50, Direction 0,4174581,249.99,
105,11,Contrast 50, Direction 135,4174580,249.99,
106,22,Contrast 100, Direction 315,4174573,249.99,
107,11,Contrast 50, Direction 135,4174572,249.99,
108,16,Contrast 100, Direction 225,4174582,249.99,
109,23,Contrast 50, Direction 315,4174581,249.99,
110,8,Contrast 50, Direction 90,4174574,249.99,
111,6,Contrast 25, Direction 45,4174571,249.99,
112,7,Contrast 100, Direction 90,4174572,249.99,
113,1,Contrast 100, Direction 0,4174574,249.99,
114,15,Contrast 25, Direction 180,4174571,249.99,
115,14,Contrast 50, Direction 180,4174572,249.99,
116,5,Contrast 50, Direction 45,4174572,249.99,
117,9,Contrast 25, Direction 90,4174572,249.99,
118,19,Contrast 100, Direction 270,4174582,249.99,
119,19,Contrast 100, Direction 270,4174581,249.99,
120,16,Contrast 100, Direction 225,4174573,249.99,
121,1,Contrast 100, Direction 0,4174581,249.99,
122,23,Contrast 50, Direction 315,4174572,249.99,
123,14,Contrast 50, Direction 180,4174582,249.99,
124,5,Contrast 50, Direction 45,4174573,249.99,
125,14,Contrast 50, Direction 180,4174579,249.99,
126,21,Contrast 25, Direction 270,4174573,249.99,
127,5,Contrast 50, Direction 45,4174571,249.99,
128,13,Contrast 100, Direction 180,4174573,249.99,
129,14,Contrast 50, Direction 180,4174572,249.99,
130,3,Contrast 25, Direction 0,4174572,249.99,
131,14,Contrast 50, Direction 180,4174573,249.99,
132,15,Contrast 25, Direction 180,4174573,249.99,
133,7,Contrast 100, Direction 90,4174573,249.99,
134,24,Contrast 25, Direction 315,4174572,249.99,
135,1,Contrast 100, Direction 0,4174572,249.99,
136,12,Contrast 25, Direction 135,4174572,249.99,
137,1,Contrast 100, Direction 0,4174581,249.99,
138,18,Contrast 25, Direction 225,4174581,249.99,
139,15,Contrast 25, Direction 180,4174573,249.99,
140,24,Contrast 25, Direction 315,4174572,249.99,
141,20,Contrast 50, Direction 270,4174571,249.99,
142,7,Contrast 100, Direction 90,4174572,249.99,
143,17,Contrast 50, Direction 225,4174573,249.99,
144,12,Contrast 25, Direction 135,4174572,249.99,
145,20,Contrast 50, Direction 270,4174572,249.99,
146,19,Contrast 100, Direction 270,4174580,249.99,
147,6,Contrast 25, Direction 45,4174572,249.99,
148,2,Contrast 50, Direction 0,4174572,249.99,
149,22,Contrast 100, Direction 315,4174573,249.99,
150,20,Contrast 50, Direction 270,4174580,249.99,
151,11,Contrast 50, Direction 135,4174573,249.99,
152,1,Contrast 100, Direction 0,4174571,249.99,
153,2,Contrast 50, Direction 0,4174573,249.99,
154,6,Contrast 25, Direction 45,4174572,249.99,
155,23,Contrast 50, Direction 315,4174580,249.99,
156,23,Contrast 50, Direction 315,4174573,249.99,
157,17,Contrast 50, Direction 225,4174573,249.99,
158,18,Contrast 25, Direction 225,4174572,249.99,
159,4,Contrast 100, Direction 45,4174572,249.99,
160,16,Contrast 100, Direction 225,4174573,249.99,
161,1,Contrast 100, Direction 0,4174571,249.99,
162,16,Contrast 100, Direction 225,4174573,249.99,
163,3,Contrast 25, Direction 0,4174571,249.99,
164,13,Contrast 100, Direction 180,4174571,249.99,
165,12,Contrast 25, Direction 135,4174572,249.99,
166,3,Contrast 25, Direction 0,4174572,249.99,
167,18,Contrast 25, Direction 225,4174581,249.99,
168,8,Contrast 50, Direction 90,4174573,249.99,
169,4,Contrast 100, Direction 45,4174572,249.99,
170,21,Contrast 25, Direction 270,4174574,249.99,
171,24,Contrast 25, Direction 315,4174572,249.99,
172,20,Contrast 50, Direction 270,4174571,249.99,
173,5,Contrast 50, Direction 45,4174579,249.99,
174,10,Contrast 100, Direction 135,4174571,249.99,
175,5,Contrast 50, Direction 45,4174572,249.99,
176,16,Contrast 100, Direction 225,4174572,249.99,
177,22,Contrast 100, Direction 315,4174579,249.99,
178,16,Contrast 100, Direction 225,4174573,249.99,
179,15,Contrast 25, Direction 180,4174572,249.99,
180,9,Contrast 25, Direction 90,4174572,249.99,
181,2,Contrast 50, Direction 0,4174572,249.99,
182,16,Contrast 100, Direction 225,4174581,249.99,
183,19,Contrast 100, Direction 270,4174573,249.99,
184,23,Contrast 50, Direction 315,4174573,249.99,
185,9,Contrast 25, Direction 90,4174572,249.99,
186,21,Contrast 25, Direction 270,4174573,249.99,
187,17,Contrast 50, Direction 225,4174572,249.99,
188,17,Contrast 50, Direction 225,4174580,249.99,
189,16,Contrast 100, Direction 225,4174573,249.99,
190,11,Contrast 50, Direction 135,4174572,249.99,
191,7,Contrast 100, Direction 90,4174577,249.99,
192,22,Contrast 100, Direction 315,4174574,249.99,
193,15,Contrast 25, Direction 180,4174573,249.99,
194,20,Contrast 50, Direction 270,4174572,249.99,
195,6,Contrast 25, Direction 45,4174572,249.99,
196,6,Contrast 25, Direction 45,4174579,249.99,
197,6,Contrast 25, Direction 45,4174579,249.99,
198,5,Contrast 50, Direction 45,4174573,249.99,
199,6,Contrast 25, Direction 45,4174570,249.99,
200,17,Contrast 50, Direction 225,4174580,249.99,
201,18,Contrast 25, Direction 225,4174574,249.99,
202,22,Contrast 100, Direction 315,4174570,249.99,
203,13,Contrast 100, Direction 180,4174581,249.99,
204,15,Contrast 25, Direction 180,4174579,249.99,
205,24,Contrast 25, Direction 315,4174571,249.99,
206,6,Contrast 25, Direction 45,4174572,249.99,
207,23,Contrast 50, Direction 315,4174572,249.99,
208,8,Contrast 50, Direction 90,4174571,249.99,
209,20,Contrast 50, Direction 270,4174572,249.99,
210,4,Contrast 100, Direction 45,4174572,249.99,
211,21,Contrast 25, Direction 270,4174573,249.99,
212,4,Contrast 100, Direction 45,4174573,249.99,
213,15,Contrast 25, Direction 180,4174571,249.99,
214,24,Contrast 25, Direction 315,4174572,249.99,
215,21,Contrast 25, Direction 270,4174572,249.99,
216,20,Contrast 50, Direction 270,4174571,249.99,
217,24,Contrast 25, Direction 315,4174572,249.99,
218,15,Contrast 25, Direction 180,4174572,249.99,
219,11,Contrast 50, Direction 135,4174579,249.99,
220,21,Contrast 25, Direction 270,4174579,249.99,
221,5,Contrast 50, Direction 45,4174572,249.99,
222,2,Contrast 50, Direction 0,4174580,249.99,
223,14,Contrast 50, Direction 180,4174579,249.99,
224,16,Contrast 100, Direction 225,4174572,249.99,
225,9,Contrast 25, Direction 90,4174581,249.99,
226,10,Contrast 100, Direction 135,4174581,249.99,
227,23,Contrast 50, Direction 315,4174572,249.99,
228,10,Contrast 100, Direction 135,4174571,249.99,
229,23,Contrast 50, Direction 315,4174573,249.99,
230,15,Contrast 25, Direction 180,4174572,249.99,
231,2,Contrast 50, Direction 0,4174572,249.99,
232,17,Contrast 50, Direction 225,4174574,249.99,
233,24,Contrast 25, Direction 315,4174578,249.99,
234,22,Contrast 100, Direction 315,4174573,249.99,
235,8,Contrast 50, Direction 90,4174579,249.99,
236,9,Contrast 25, Direction 90,4174584,249.99,
237,13,Contrast 100, Direction 180,4174573,249.99,
238,18,Contrast 25, Direction 225,4174572,249.99,
239,18,Contrast 25, Direction 225,4174573,249.99,
240,20,Contrast 50, Direction 270,4174581,249.99,
