  ,channel,segment     ,acc avr           ,acc std_dev         ,f1-sc avr         ,f1-sc std_dev
0 ,1      ,spontaneous ,0.6732638888888889,0.0359320480298199  ,0.6665358969357789,0.03769406204544428
1 ,2      ,spontaneous ,0.6756944444444443,0.04181685893701277 ,0.6708865993888177,0.04289813091665386
2 ,3      ,spontaneous ,0.6677083333333333,0.03591862426993057 ,0.6644382571149895,0.03754102867612088
3 ,4      ,spontaneous ,0.6916666666666665,0.04110735718596872 ,0.6873652713277922,0.042565513558094355
4 ,5      ,spontaneous ,0.6743055555555554,0.03952237020870056 ,0.6666066679677736,0.041666862745206354
5 ,6      ,spontaneous ,0.6850694444444444,0.05143227335325506 ,0.6786033044759044,0.05531017368435916
6 ,7      ,spontaneous ,0.6611111111111112,0.03027809632859951 ,0.6561998023624368,0.03248571170837642
7 ,8      ,spontaneous ,0.6479166666666666,0.04373346248287164 ,0.6400096093081238,0.04578054933428092
8 ,9      ,spontaneous ,0.6322916666666667,0.040357022141271896,0.6280144909550763,0.04341115766681009
9 ,10     ,spontaneous ,0.6569444444444444,0.04209272905747706 ,0.6535853095455061,0.04292795798757304
10,11     ,spontaneous ,0.6378472222222221,0.038666589339801355,0.6333845258296813,0.04092145460661861
11,12     ,spontaneous ,0.6833333333333332,0.04197800349918726 ,0.6787821388558537,0.04440070333161033
12,13     ,spontaneous ,0.6736111111111112,0.04280843057617346 ,0.668647948091029 ,0.044686384994811985
13,14     ,spontaneous ,0.6704861111111112,0.033965717215858324,0.6640042799157265,0.03657279459217832
14,15     ,spontaneous ,0.653125          ,0.036892258986786754,0.6463239021493126,0.04075795327586328
15,16     ,spontaneous ,0.5861111111111111,0.03411977360149514 ,0.5748789099573005,0.03416307981102539
16,17     ,spontaneous ,0.653125          ,0.0344590722747586  ,0.6513423403780217,0.03524385985729534
17,18     ,spontaneous ,0.6336805555555554,0.04370726528370595 ,0.6299185507447675,0.04467219444206901
18,19     ,spontaneous ,0.58125           ,0.03864007706456544 ,0.5749433768748875,0.039378154524275816
19,20     ,spontaneous ,0.6222222222222222,0.04078346350007229 ,0.6172085355106455,0.03974739295412086
20,21     ,spontaneous ,0.638888888888889 ,0.04722732815533139 ,0.6356627157401618,0.04726138715483545
21,22     ,spontaneous ,0.626736111111111 ,0.04141270986762695 ,0.6179533148041053,0.04358817388538438
22,23     ,spontaneous ,0.6569444444444444,0.041312149215932924,0.6538521293997918,0.04171543106890335
23,24     ,spontaneous ,0.6559027777777776,0.031650595946449915,0.65235014619517  ,0.032340174795396415
24,25     ,spontaneous ,0.6527777777777779,0.05098376345271571 ,0.651536149757758 ,0.05108412147288589
25,26     ,spontaneous ,0.6489583333333333,0.04080267414756773 ,0.6449736133797496,0.04207826372530515
26,27     ,spontaneous ,0.6680555555555556,0.04342915864931825 ,0.6661753883475013,0.044206720606311804
27,28     ,spontaneous ,0.6388888888888888,0.047532680440687786,0.634558404615637 ,0.04869212299898372
28,29     ,spontaneous ,0.6107638888888889,0.04544368250176242 ,0.6006093997592306,0.04689972878578402
29,30     ,spontaneous ,0.6295138888888888,0.03723705394802865 ,0.6245387093677054,0.03823503218448972
30,1      ,stimulus    ,0.7520833333333333,0.03276423920023736 ,0.7458017023748965,0.03434880665329596
31,2      ,stimulus    ,0.7409722222222224,0.030869598292906753,0.7398234911109728,0.03132434724495077
32,3      ,stimulus    ,0.7291666666666665,0.04750730937913074 ,0.7275216303588518,0.047981772535765035
33,4      ,stimulus    ,0.7197916666666667,0.03082465155550858 ,0.7186408365540592,0.031308781050531524
34,5      ,stimulus    ,0.765625          ,0.039413928434369874,0.7605387602394292,0.04128653100724499
35,6      ,stimulus    ,0.7520833333333332,0.03352807695714809 ,0.7513647260830311,0.03370958694468651
36,7      ,stimulus    ,0.7263888888888891,0.038689967436622556,0.7252687898452841,0.03883326229810325
37,8      ,stimulus    ,0.7229166666666665,0.04632001707125636 ,0.7222140037325193,0.04653367458535854
38,9      ,stimulus    ,0.6930555555555558,0.038200757054097395,0.6893629149657788,0.03937220187815624
39,10     ,stimulus    ,0.6927083333333335,0.04490457345964432 ,0.6900964887349496,0.04560887913536223
40,11     ,stimulus    ,0.6982638888888888,0.03789179332709406 ,0.6949173720357588,0.03929643096746234
41,12     ,stimulus    ,0.7565972222222221,0.03779621945706891 ,0.7554561399221341,0.03803305478348998
42,13     ,stimulus    ,0.7187499999999999,0.0490063299010482  ,0.7181880214824735,0.04910788854674055
43,14     ,stimulus    ,0.7413194444444444,0.03756585010532574 ,0.7377905625346918,0.03870357863001274
44,15     ,stimulus    ,0.7159722222222222,0.046501858452175575,0.7134092519673637,0.04674827186918784
45,16     ,stimulus    ,0.6694444444444444,0.03567444316400368 ,0.6677430411623302,0.035506294062734034
46,17     ,stimulus    ,0.7194444444444446,0.037839257571736874,0.7184897479346003,0.038084079221343985
47,18     ,stimulus    ,0.68125           ,0.04299951550114644 ,0.678918454266835 ,0.04372100017993939
48,19     ,stimulus    ,0.6180555555555556,0.044303160854823845,0.6065474781868251,0.04860243259870132
49,20     ,stimulus    ,0.6600694444444444,0.04222570572252681 ,0.6572831405515615,0.0437461722638655
50,21     ,stimulus    ,0.7097222222222223,0.041206954719852217,0.7079791589315809,0.04219068823073667
51,22     ,stimulus    ,0.7138888888888889,0.03904359110241833 ,0.7123212051894796,0.03962955381764316
52,23     ,stimulus    ,0.6833333333333333,0.04489248988581663 ,0.6825080344328518,0.04494480431167579
53,24     ,stimulus    ,0.6954861111111111,0.047559305488834115,0.6937999502924382,0.048216572140354415
54,25     ,stimulus    ,0.6809027777777779,0.0470085545964446  ,0.679971673113602 ,0.04734219041702253
55,26     ,stimulus    ,0.7041666666666667,0.05301936665729553 ,0.7020308231691724,0.054347471956251246
56,27     ,stimulus    ,0.6909722222222222,0.03882062460937134 ,0.690186733206533 ,0.038723216913467445
57,28     ,stimulus    ,0.701388888888889 ,0.04272385670908896 ,0.7004666039877792,0.04303089814063678
58,29     ,stimulus    ,0.6791666666666666,0.03826382587209975 ,0.674286008281333 ,0.03923992429713177
59,30     ,stimulus    ,0.7104166666666667,0.03864007706456543 ,0.7092729981390504,0.03911554584900198
60,1      ,poststimulus,0.6624999999999999,0.04956407188904301 ,0.6552615647979253,0.05125690572012357
61,2      ,poststimulus,0.6489583333333333,0.04659639426321884 ,0.6452529920291834,0.046639967121866126
62,3      ,poststimulus,0.623263888888889 ,0.03980959941078174 ,0.6167373477589467,0.04184653784304291
63,4      ,poststimulus,0.6621527777777779,0.0410266234886146  ,0.6595259676019273,0.0415169834054442
64,5      ,poststimulus,0.6590277777777779,0.04234972524580369 ,0.6517133817371576,0.04505296286265709
65,6      ,poststimulus,0.6350694444444442,0.050638525094688844,0.6340556141006863,0.05036546174740657
66,7      ,poststimulus,0.61875           ,0.041718717488543305,0.6121501088840496,0.045437730046074855
67,8      ,poststimulus,0.5979166666666668,0.046863424496674966,0.5966678491560927,0.04710058608257927
68,9      ,poststimulus,0.6288194444444444,0.04829884825007684 ,0.6218506059695954,0.05012709275445307
69,10     ,poststimulus,0.6350694444444444,0.04256695207494446 ,0.6247458255900777,0.04434871402206019
70,11     ,poststimulus,0.6354166666666666,0.04443901876604487 ,0.6268988347525649,0.04711334989227669
71,12     ,poststimulus,0.6371527777777779,0.04959933020816678 ,0.6290515455914918,0.05113160742780739
72,13     ,poststimulus,0.6274305555555556,0.03781535355521845 ,0.6251949363627011,0.038281989448180224
73,14     ,poststimulus,0.6649305555555557,0.049086219889340546,0.6603363839043055,0.05085144646359041
74,15     ,poststimulus,0.6572916666666667,0.043230212504082696,0.6481786479504452,0.04623868545509097
75,16     ,poststimulus,0.6024305555555555,0.04477012832717926 ,0.5950348817895558,0.048028937507672544
76,17     ,poststimulus,0.6138888888888889,0.048556516962259266,0.6105734365236544,0.05040705680181232
77,18     ,poststimulus,0.5381944444444445,0.040641319134443146,0.5323012869215386,0.04226737231321512
78,19     ,poststimulus,0.5319444444444444,0.047805829943043665,0.5256123826684321,0.05244642010779438
79,20     ,poststimulus,0.5836805555555556,0.04390542278228691 ,0.5792865676718671,0.04621524842379429
80,21     ,poststimulus,0.6041666666666665,0.04378305629485586 ,0.5959204458969175,0.04599127977600338
81,22     ,poststimulus,0.596875          ,0.04412455408441141 ,0.5891326890521592,0.045994197787561135
82,23     ,poststimulus,0.5541666666666667,0.048888099741105674,0.5501736854978325,0.050209045769048936
83,24     ,poststimulus,0.5427083333333333,0.039651804813904755,0.5395961035149276,0.0402023313862889
84,25     ,poststimulus,0.5673611111111111,0.03876468260264685 ,0.562620218128604 ,0.039489033839066406
85,26     ,poststimulus,0.5729166666666666,0.045880657386552594,0.5702336060679193,0.04657560442359546
86,27     ,poststimulus,0.5506944444444444,0.04400827643820794 ,0.54728116131867  ,0.044637247453424365
87,28     ,poststimulus,0.5878472222222223,0.04771116359064028 ,0.58070894259256  ,0.05080423372982819
88,29     ,poststimulus,0.5833333333333335,0.047507309379130745,0.5793945911079716,0.048544299699743616
89,30     ,poststimulus,0.6142361111111111,0.04374035387486898 ,0.6119760509854706,0.04406091050980611
